SMILES,AQSOL
O=C1Nc2cccc3cccc1c23,-3.254767098
Clc1ccc(C=O)cc1,-2.177077944
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.662064583
Cc1cccc(C=C)c1,-3.123150304
CCC1CCC(CCC(O)=O)C1,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.664548539
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652185
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502564
CN(C)c1ccc(C=O)cc1,-2.28276885
CC(=O)OC(C)(C)Cc1ccccc1,-2.394649969
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.43023888
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.544059701
CC(C)=CCC\C(C)=C/CO,-2.320601166
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.466030786
FC(F)(F)c1cccc(Cl)c1,-3.411513885
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.513468741
CC(C)CCCCCOC(=O)CCS,-4.4543817
CC(C)=C1CCC(=CC1)C,-4.287342935
CCNCC(O)c1cccc(O)c1,-3.45410264
ClCc1ccc(Cl)cc1Cl,-3.512942193
CC1(C)C2CCC(=C)C1C2,-4.292313455
CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462
NO,-0.763033718
C=CC(=O)OCCOc1ccccc1,-2.563625713
OC(=O)CCCCCCCCC=C,-3.552826145
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.793227892
CC(C)CCCCCCc1ccc(O)cc1,-4.587250025
CC(=C)c1cccc(c1)C(C)=C,-4.451139225
CC(C)(C)CCCCCC(=O)OC=C,-4.581332511
Cc1ccc(cc1)C(C)(C)C,-4.472021768
OC(=O)C1CCCCC1,-1.445031941
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.893739071
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535
C1CN(CCO1)Sc2sc3ccccc3n2,-3.810962795
CCCN(CCC)C(=O)SCC,-2.703174404
C1CC(CCC1COCC2CO2)COCC3CO3,-1.835797234
C=COC(=O)c1ccccc1,-2.622959195
COC(=O)c1ccc(cc1)C(C)(C)C,-3.739816376
Cc1cccc(CC(C)(C)CO)c1,-2.826535469
CC(=O)OC\C=C(C)/CCC=C(C)C,-3.754953216
CC1CC(=O)CC(C)(C)C1,-1.647141463
C=CC(=O)OCCOc1ccccc1c2ccccc2,-3.951518842
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.123168748
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,-4.952868803
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.47300058
CCOC(=O)CC(C)CC(C)(C)C,-3.823043168
CCc1ccc(C)nc1,-1.004260454
CC(=C)C(=O)OCCOc1ccccc1,-2.95264717
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.151088918
CF,-0.175874376
C(COc1ccccc1)Oc2ccccc2,-3.988526528
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.278038713
CCCC(CCC)C(O)=O,-1.857977427
CCCCCC/C=C/C1CC(=O)OC1=O,-4.021753515
FC(=C)C(F)(F)F,-2.759957367
O=C1Oc2ccccc2C=C1,-1.886030361
CC(=C)C1CCC(=CC1)C,-3.84649653
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.135942613
CCCOCC(C)OCC(C)O,-0.070052651
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.170824759
O=C(Oc1ccccc1)Oc2ccccc2,-4.216916663
CCCCC(CC)C(=O)OC=C,-4.151910976
CC(=C)C(=O)NCNC(=O)C(C)=C,-1.189236756
C\1C\C=C/CC\C=C1,-2.965977173
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.387683254
Oc1ccc(c(O)c1O)C(=O)c2ccccc2,-3.345107824
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,-4.425503245
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.425503245
CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,-5.42454755
COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,-5.49192521
CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.593122622
C\1C\C=C/CC\C=C/CC/C=C1,-5.365156254
BrCc1ccc(cc1)c2ccccc2C#N,-6.656649109
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545253
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-6.183335848
c1cc2ccc3cccc4ccc(c1)c2c34,-6.178796616
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.40319542
CCC(CC)CC1(CCCCC1)C#N,-6.587338232
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.252394502
CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-7.404250358
FC1(F)Oc2cccc(C=O)c2O1,-2.155833357
CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12,-7.638280591
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-8.185258765
Cc1cccc(C)c1OCC(O)=O,-2.256644531
CC(=O)c1ccc(O)cc1,-1.138382451
CC(C)=CCC\C(C)=C\C=C\C(C)=O,-3.297212067
C=CN1CCN(C=C)C1=O,-1.155886444
CCC1=C(O)C(=O)C=CO1,-1.17595802
COC(=O)Cc1ccccc1,-2.211401723
CCCCCCCl,-3.122388733
CC(=C)C(=O)OCC(F)(F)F,-2.268475684
CCCCCCC(C)=O,-2.153696327
CCCCC/C=C/CC(CC(O)=O)C(O)=O,-2.404240574
CCCC(CCC)(C(O)=O)C(CCC)(\C=C\C)C(O)=O,-3.495359601
CC(C)(O)C(=O)c1ccc(Cc2ccc(cc2)C(=O)C(C)(C)O)cc1,-4.536378597
C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,-4.493085819
CCCCC(CC)COC(=O)C=C,-4.283204614
CC(=O)OC1CC2CC1C3CCCC23,-3.338049828
CCS,-0.84591656
CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.595175443
CC(C)c1ccc(CCC=O)cc1,-3.302656786
CCCCBr,-2.197764187
CCCOC(C)OCCc1ccccc1,-3.384192904
COC(OC)C(C)(C)CC=C(C)C,-3.339761604
COC(C)(C)C1CCC(=CC1)C,-3.296613578
CC/C(C)=C/CCC(C)(O)C#C,-2.302767888
O=C1C=CC(=O)N1c2ccccc2,-2.327317556
Cc1ccc(cc1)N2N=C(C)CC2=O,-2.365667988
OB(O)c1ccc(C=O)cc1,-2.267384667
CC(=O)CC(C)(C)c1ccccc1,-2.337666283
CCCCCOC(=O)CC,-2.250522404
FC(F)=C(F)Cl,-2.160954298
CCCCCCCCCCCCOCCO,-1.459377408
NCCCCCCCCCCC(O)=O,-2.400775362
NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,-2.800595088
C\C=C1/CC2CC1C=C2,-3.176796415
CCN(C(=O)N(CC)c1ccccc1)c2ccccc2,-3.525627796
CCCCOC(=O)c1ccccc1N,-3.383020526
Oc1ccccc1C(=O)OCc2ccccc2,-4.413922406
CCC(C)(OOC(C)(C)C)OOC(C)(C)C,-4.45076092
S(c1ccccc1)c2ccccc2,-4.360607869
Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,-4.553119611
CCO,1.233668218
COc1ccc(OC)cc1,-2.245531528
C1CCC(CC1)OCCc2ccccc2,-2.418090055
C/C=C/C(=O)C1C(C)C=CCC1(C)C,-3.396366501
O=C(OCC1CO1)c2ccc(cc2)C(=O)OCC3CO3,-3.557960056
CCCCC/C=C/CCC=O,-3.301742894
Cc1cc(C)c(C)c(O)c1,-2.252203004
CC(F)(F)F,-2.043101387
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.469930479
CN=C=S,-0.98322259
CN(C(=O)N(C)c1ccccc1)c2ccccc2,-3.497557581
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505
CC(C)CCCCCCCO,-3.324378497
CCOC(=O)C1OC1c2ccccc2,-2.409651238
CC(C)CCCC(C)(C)O,-2.286983634
CCC(=O)OCc1ccccc1,-2.344979827
CC(=O)OC1(CCCCC1)C#C,-2.352215179
CCN(CC)CC,-0.137682984
CCCCCCCC\C=C/CCCCCCCCNCCCNCCCN,-3.718391335
CSC,-0.931218902
Nc1cc(Cl)c(Cl)cc1Cl,-3.435950486
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.506108364
OC(=O)c1cc2ccccc2cc1O,-3.417245584
CC(C)c1cccc(c1)C(C)CC=O,-3.677346846
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
CCCCC,-3.006984006
COc1cc(\C=C\C)ccc1O,-2.364737497
Cc1ccc(C=O)cc1C,-2.277035079
CCCCOC(C)=O,-1.219958563
CCN(CC)c1cccc(NC(C)=O)c1,-2.469378031
Cc1ccccc1NC(N)=Nc2ccccc2C,-3.533884584
CCCC(CC)COC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-7.09873715
CC1(C)CCCC2(C)C3CCC(C13)C2=C,-4.412762427
Oc1ccccc1C(=O)OCCc2ccccc2,-4.489105335
CC(COC(=O)c1ccccc1)OC(=O)c2ccccc2,-4.567302938
CCC(C)(C)C1CCCCC1OC(C)=O,-4.446203904
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,-4.620257788
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.469462233
CCCCCCCCCc1ccc(O)cc1,-4.49802684
CC(C)=CCC\C(C)=C\CO,-2.351909504
COc1ccccc1OC,-1.314975067
CCCCCCOC,-2.245085326
CC(C)c1ccc(cc1)C(C)CC=O,-3.459862901
CC1CC(=CC(C)C1CO)C,-2.371197393
CC/C(C)=C/CCC(C)(O)C=C,-2.409128664
O=C(OCC1CO1)c2ccc(C(=O)OCC3CO3)c(c2)C(=O)OCC4CO4,-2.762296476
CC1CC(C)(CO1)c2ccccc2,-2.433237945
CCCCC(CC)C(=O)OCC,-3.423291255
Oc1cccc2cccnc12,-2.349605255
CCOc1ccccc1OCC,-2.41045076
C\C=C\C,-1.939465074
OCC(O)C(O)C(O)CO,0.625274489
CC(=C)C=C,-2.025733236
CCCCCCCC/C=C/CCCCCCCCNCCCNCCCNCCCN,-3.836075758
CC(C)CCCC(C)CCO,-3.393259787
CC(=O)c1ccccc1,-1.28038684
CCCCCC(O)C(/C)=C/CC,-3.431863898
CCCCOC(=O)CCC,-2.361047779
OC(=O)c1ccccc1C(O)=O,-1.424573276
O=CC1CCC2C3CCC(C3)C12,-2.419967647
Cc1cccc(C)c1O,-1.292396158
CCC(O)c1ccccc1,-2.340367591
CC(=O)c1cccc(c1)C(F)(F)F,-2.482107917
Nc1ccc(Cl)cc1Cl,-2.417174258
CC/C=C/CC/C=C/C=C,-3.34190657
OC\C=C/CO,0.846685164
CCOCCOCCOCCOC(=O)C(C)=C,-0.603011426
CCCCCCCCCC(O)=O,-3.445216137
CC(C)C,-2.977604072
CCCC,-2.977604072
CC,-2.691382006
CC1(C)C2CC=C(CCC=O)C1C2,-3.46576061
OC(=O)Cc1ccc(O)cc1,-0.399080411
COc1ccc(COC(C)=O)cc1,-2.474006642
Nc1nc(N)nc(n1)c2ccccc2,-2.494168514
CC(C)(C)C1CCC(CC1)OC(=O)C=C,-3.539328096
Brc1ccc(Br)c(C=C)c1,-4.578730408
Cc1ccccc1NC(=O)c2cc3ccccc3cc2O,-4.623441954
COC(=O)c1nc(Cl)c(Cl)nc1N,-4.534838609
CCCCCCCC\C=C/CCCCCCCC(=O)N(CCCC)CCCC,-4.788985441
CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.544220436
CCCCCCCCCOC(C)=O,-4.47086065
c1ccc2ccccc2c1,-4.311225605
Oc1ccccc1C(=O)OC2CCCCC2,-4.554076293
CC\C=C/CCOC(=O)C\C=C/CC,-4.509709484
CCCCCCCCCCCC(=O)OCC(O)CO,-4.660234439
COc1ccc(c(O)c1)C(=O)c2ccccc2,-4.580253828
CC1CCC2C(C)(C)C3CC12CC(=C3C)C(C)=O,-4.613478878
CCOC(=O)c1ccccc1,-2.39990224
OC(=O)CCc1ccccc1,-1.405751413
CC(C)=CCC\C(C)=C\C=O,-2.411668206
CCCCCCC1CCCC1=O,-3.451515538
CC(C)C(=O)C(C)(C)CC=C(C)C,-3.489215864
Oc1ccc(C=C)cc1C=C,-3.394062684
Nc1ccc(Cl)cc1O,-2.390659928
CCOc1ccc(cc1)C(O)=O,-2.454899746
Nc1c(Cl)cc(cc1Cl)C(F)(F)F,-3.591642752
CNCCCN1c2ccccc2CCc3ccccc13,-3.657617041
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2,-3.703092646
CCCCCCCCC(O)CO,-2.478578955
CCC(C)C1CCCCC1=O,-2.427057806
COc1cc(C=O)ccc1OC(=O)C(C)C,-2.588667606
Cc1ccccc1,-2.206298299
CCc1ccc(CC(C)(C)C#N)cc1,-3.351339264
ClCCCCCCCl,-3.43464733
CCC(=O)OC1C=CC2C3CCC(C3)C12,-3.558592794
CCOc1ccccc1,-2.331841643
CN1C(=O)N(C(=O)C=C1C(F)(F)F)c2ccc(Cl)c(c2)C(=O)OC(C)(C)C(=O)OCC=C,-4.676528089
C=CCOC(=O)COc1ccccc1,-2.536373209
NC(N)=O,0.957840099
O=C1Nc2ccccc2N1,-2.392751997
CC(CCOC(=O)C=C)CCOC(=O)C=C,-2.621433551
Nc1cccc(Cl)c1,-1.373368413
CC(=O)OC1CCC2CCCCC2C1,-3.560504415
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,-7.335707323
C1CC=CC1,-2.104914482
FC(F)(F)C(F)(F)F,-2.423907212
CC(C)=CCC\C(C)=C/CCC=O,-3.538303545
CC(=C)C(=O)Oc1ccccc1,-2.494851361
CC1=C(C=O)C(C)(C)CC=C1,-2.465007757
CN(C)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-2.711387028
CC(=O)CC(C)(C)C1CCCCC1,-3.548153643
CC(C)C1CCC(C)CC1O,-2.488009121
Nc1ccc(Nc2ccccc2)cc1,-2.563130476
CCC(C)C(=O)N(C)c1ccccc1,-1.580579513
NC(=O)c1cccnc1,0.612158315
Cc1cc(C)cc(O)c1,-1.387983905
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-2.772789495
CC(C)CC(=O)CC(C)C,-2.454057846
COc1ccc(CC=C)cc1OC,-2.55201324
CCCCCC1=C(CCC1CC(=O)OC)OC(C)=O,-3.721988672
C=CC1CCC=CC1,-3.335193031
CCCCCCCC/C=C/CCCCCCCCN(CCO)CCO,-4.78011829
CCCCOC(=O)c1ccc(C(=O)OCCCC)c(c1)C(=O)OCCCC,-4.807173711
CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(O)cc4,-4.828521956
CCCCCCCCCCCO,-4.480440668
O=C1C(c2ccc3ccccc3n2)C(=O)c4ccccc14,-4.701186127
CCCCC(CC)COC(=O)OOC(C)(C)C,-4.659958513
CC1CC(CC(C)(C)C1)OC(=O)C(C)=C,-4.598598509
