Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,E_HOMO,E_LUMO_HOMO_GAP,Dipole_Moment,Polarizability,PSA_DFT,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,468.2000000000000,90.06,5,3,6,0.1875,0.1923536950021360,-0.20335287797184600,0.15339388617544600,1.1255976231666700,621.5338988544090,745.874899169929,11.465661567662600,-24.85370254121550,,,56.4,182.3,,,,,
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,254.95200000000000,27.05,3,0,1,0.16666666666666700,0.10609840283661200,-0.191532786379244,0.12807085788283300,2.071201042842030,342.1584505524450,297.5180955633890,4.456202838789910,-9.822290344234340,,,160.4,1351.1,,,,,
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,387.1200000000000,33.53,5,0,5,0.4,0.08661396982847690,-0.19126688674931700,0.12791089040351400,3.3759499253104500,470.8427004770690,394.69091550080800,5.7379872260210300,-12.679993349073400,,,,193.5,,,,,
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,589.8320000000000,111.4,7,3,14,0.2702702702702700,0.18886733849638500,-0.20436818363701000,0.14895361955068400,2.6410913224741400,726.5721913902350,822.7780444163610,13.92878272503700,-30.115534835611500,,,9.5,,,,,,
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,491.48000000000000,82.30000000000000,6,2,12,0.3333333333333330,0.16745340603890300,-0.20090655598752600,0.1265891886571090,3.451664720543970,631.1818573830880,521.3883720554530,9.278392911078490,-20.25243904133510,,,,162.0,,,,,0.0122
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,508.8480000000000,122.76000000000000,8,4,12,0.3333333333333330,0.2412508253938310,-0.20037522060879300,0.12659621325700200,1.7080219272954700,636.0029677821710,548.2336278771720,10.169128706698300,-22.718046512141800,,,18.9,64.2,,,,,
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,496.6880000000000,137.26000000000000,7,4,11,0.2,0.27635054601681500,-0.1979747729071200,0.13991207068774100,4.16391464255234,591.3595023648720,751.0257263619520,11.04334125324460,-24.600050370929800,,,14.9,66.1,,,,,
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,501.0960000000000,98.93,5,3,9,0.18181818181818200,0.1974272394910360,-0.21007843596654500,0.1460590401117590,4.221319677473970,627.6722547568180,583.1948980309970,10.902453224639500,-24.020642103865200,,,15.0,167.0,,,,,
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,394.4080000000000,125.69,5,4,8,0.16,0.3186801484756900,-0.19918147113053800,0.12862868396846900,1.9218879164200800,543.8092757732910,663.6460793611510,12.109172027089500,-26.517079625212300,,,243.3,77.7,,,,,
E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,537.5920000000000,70.32000000000000,6,2,6,0.4117647058823530,0.13080551793925500,-0.18458226462066900,0.11592225959362700,0.5457756886451650,740.6736590214130,513.2223925839230,9.850425826773140,-21.570527625336400,,,8.8,,,,,,
E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,376.65600000000000,82.72,5,2,7,0.20833333333333300,0.2196168387069370,-0.20521925026706100,0.1299344324490530,4.156296921895820,476.84318382152900,334.0410007730500,7.34120924550702,-16.276716898593000,,,7.4,342.0,,,,,
E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,393.4880000000000,95.85,5,3,7,0.2,0.2435906558776890,-0.19844293696725300,0.15031328321938500,0.9206370449990880,494.12616937941900,675.3291636193380,11.595971737392500,-25.245483990624000,,,14.2,82.8,,,,,
E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,382.24000000000000,69.83,4,2,7,0.2,0.18268627040602800,-0.20627177852788000,0.15717035489321600,1.086121393829130,476.61154736287100,591.0469907789030,9.692227523475040,-21.10052507755110,,,18.9,336.0,,,,,
E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,305.8160000000000,70.15,5,2,5,0.23529411764705900,0.22938629764302700,-0.21593567502347300,0.14676226975849300,4.182915678973690,336.19568910952700,390.0172779454450,7.591437995571360,-16.371480910954300,,,9.9,180.0,,,,,
E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,331.2320000000000,79.38000000000000,6,2,7,0.2777777777777780,0.23965075838083300,-0.21627740926933,0.14704534874500900,4.863512594362040,355.7770613480780,452.125838693478,8.258766583057610,-17.890597964303900,,,15.6,250.1,,,,,
E-0010024,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,257.70400000000000,84.73000000000000,6,2,3,0.23076923076923100,0.3287880669295000,-0.2280587481889950,0.15922907635125100,5.057766754006070,278.40403384393200,575.7062758967640,8.593942161652160,-18.542497467262800,,,,36.0,,,,,
E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,223.61600000000000,95.59,5,3,3,0.09090909090909090,0.4274738838008010,-0.22991484464624200,0.16072483141493900,5.48354586338384,243.4908826899290,555.4140080837870,9.574042039088150,-20.540197726745,,,9.3,2044.5,,,,,
E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,393.5280000000000,99.25,6,3,6,0.36363636363636400,0.2522056880323640,-0.21266546624898600,0.14335924927519300,4.977407779808030,416.3143496455630,639.5256047179600,10.843248748252600,-23.132767079387700,,,9.1,54.8,,,,,
E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,387.6320000000000,124.69,6,4,6,0.08695652173913040,0.3216710694679490,-0.23027771017587200,0.1609660291049390,4.330793669128100,447.3117556661400,554.969228357751,10.906490711405900,-23.934946255616600,,,54.4,658.3,,,,,
E-0010062,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,359.9360000000000,66.49000000000000,4,2,8,0.2727272727272730,0.1847272848506400,-0.21378458484583800,0.15504562450324300,2.06874019913688,389.3267443857540,371.71678221781200,7.778952858095170,-17.052756178466500,,,,39.4,,,,,
E-0010066,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,351.3920000000000,66.49000000000000,5,2,8,0.3,0.18921887806210700,-0.21346193482918400,0.1724452071881190,3.2395291338818100,372.66476386874200,385.15545013523400,7.646317474365220,-16.780139404193700,,,,69.1,,,,,
E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,441.7920000000000,114.94,5,4,8,0.2222222222222220,0.26016768071852800,-0.19891167169875000,0.12868149259801900,2.2179434159763600,584.9078976397970,599.4082810657790,11.60783287560310,-25.425894364218400,,,173.4,96.7,,,,,
E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,360.33600000000000,66.49000000000000,4,2,8,0.2727272727272730,0.18452222370232200,-0.21386595652160900,0.15832349340285900,3.2539076537194500,387.9479025777230,391.6427602383190,8.04274476106872,-17.556207498998900,,,15.8,675.8,,,,,
E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,283.88000000000000,80.04000000000000,3,3,4,0.1111111111111110,0.2819501197689160,-0.21793478108013800,0.15908123354377000,1.8413783705392000,322.3150102781010,406.08472529251300,8.159763017074520,-17.89525643463420,,,123.2,439.0,,,,,
E-0010138,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,382.4240000000000,59.39,5,1,5,0.3333333333333330,0.15529883061732500,-0.1926340809839040,0.1157973367239270,2.0090983335681800,469.39127919165100,431.8293564681080,5.508617380050160,-12.200593507238000,,,,4085.9,,,,,
E-0010347,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,317.7120000000000,30.29,4,0,4,0.2857142857142860,0.0953379161001158,-0.19176224121527400,0.1283370189389590,2.260760405684790,399.07056397713800,301.1225263872360,4.878464996644170,-10.82848788147060,,121.0,,418.1,,,5.2,,
E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,366.68000000000000,39.52,5,0,5,0.375,0.10777789898549100,-0.19160038718642400,0.1282544591418500,2.0522232201798700,445.39539791410900,401.4936156598050,5.899746587224110,-13.083624256968600,,,10.7,517.0,,,,,
E-0010360,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,357.1840000000000,30.29,4,0,5,0.375,0.08480223078301380,-0.19148528473105300,0.12830271009420900,3.3298883508820500,442.52952814346400,319.0348775554620,4.77363293964534,-10.572714610988200,,,,273.8,,,,,
E-0010361,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,368.3920000000000,30.29,4,0,7,0.375,0.08222219809333530,-0.19106022141476800,0.12791840417939600,2.078206624827430,444.2613480895250,284.520907632176,4.83050647574303,-10.725659926537800,,,,243.6,,,,,
E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,350.09600000000000,39.52,5,0,4,0.34782608695652200,0.1128833234312870,-0.19205206799957700,0.12848654233875400,3.696183504385030,432.5937248906670,415.6605464578480,5.701420058613970,-12.61923786414690,,,10.7,685.0,,,,,
E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,286.0160000000000,70.14000000000000,4,1,3,0.15789473684210500,0.24523103602595700,-0.19366590573303400,0.12943309540995900,4.048824355203460,365.40849504560500,486.53314051767800,7.248980797744740,-16.044584530985700,,,46.2,399.0,,,,,
E-0010457,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,341.07200000000000,50.160000000000000,4,1,4,0.2727272727272730,0.14706572219355400,-0.20279476707319900,0.13730201787230600,1.3859058817891400,427.0317808229020,443.1478193639020,6.724644772286550,-14.745642355018500,,,,325.0,,,,,
E-0010464,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,339.28800000000000,59.39,5,1,6,0.4,0.17504303128905200,-0.20242187445939600,0.15153111070721100,2.5767975385338800,376.0030681675730,386.4873621895120,6.208853832954530,-13.707915813888000,,182.0,,481.7,,,23.7,,
E-0010481,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,418.3360000000000,62.63000000000000,6,1,10,0.5,0.14971219306968600,-0.20254085460977500,0.15127441797661300,3.2213390703335600,447.57033252131700,389.1401857918950,6.864203698258560,-15.2090424195617,,203.0,,275.1,,,62.1,,
E-0010482,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,402.0960000000000,62.63000000000000,6,1,9,0.4782608695652170,0.15575882376347900,-0.2023975385468690,0.15144983515523100,2.8071194144216300,433.5618087381050,422.2752258566280,6.667090578524620,-14.732178992265600,,224.0,,216.7,,,37.0,,
E-0010495,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,314.33600000000000,51.440000000000000,5,1,3,0.23809523809523800,0.16364654382571500,-0.19384203551514900,0.12961237830360900,2.2512826750743500,399.9558320764710,344.12784344888100,6.119488376851720,-13.626916266732100,,,,233.0,,,,,
E-0010519,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,402.4480000000000,62.63000000000000,6,1,10,0.4782608695652170,0.15562258975072600,-0.2033314520097160,0.14714165406932200,3.410213300393430,433.30382915756500,424.43743305771600,6.616104990099800,-14.679327113669700,,180.0,,128.9,,,43.9,,
E-0010520,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,385.0160000000000,62.63,6,1,9,0.45454545454545500,0.16266856442329700,-0.20332149957978000,0.14695928684417800,3.534544553970550,418.1066414299380,423.09718284669800,6.511561418855030,-14.465140852022000,,194.0,,41.2,,,74.1,,
E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,303.6160000000000,56.15,4,1,3,0.2,0.18493755269814500,-0.19380605029813000,0.12948609271904900,4.0789560311634600,381.6727766966970,473.444599459378,6.753138634509410,-14.864042956775600,,12.5,48.9,737.5,,,1.4,,
E-0010561,COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,366.38400000000000,59.39,5,1,5,0.30434782608695700,0.16209768985545200,-0.19234486487940800,0.11637936404908700,1.7021561607408800,453.51935034490100,482.55200553144700,5.588592801338040,-12.307396512637800,,157.0,,3325.1,,,3.6,,
E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,356.84800000000000,30.29,4,0,4,0.375,0.08488207864412860,-0.19171813443862000,0.1282971709669920,2.2443187877602500,442.18352583374300,293.7280991328580,4.793629421977760,-10.633280015900200,,140.0,12.6,297.7,,,3.4,,
E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,284.4320000000000,53.07,4,1,3,0.21052631578947400,0.1865823817292010,-0.19158814494146100,0.12827724719150500,2.606888794204490,367.327146960132,335.91961875332800,5.577446642143810,-12.40322605010900,,156.0,13.6,144.2,,,2.9,,
E-0010568,COc1ccc2c(c1)c1cc3c(C(=O)NCCCN(C)C)nccc3c(C)c1n2C,382.36000000000000,59.39,5,1,6,0.3333333333333330,0.1553248247724660,-0.1927068252478550,0.1173794352002360,1.9361409782972500,468.6007696704720,446.2524773831960,5.424121185684170,-11.958416170509100,,,,1426.9,,,,,
E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,370.4800000000000,33.53,5,0,4,0.375,0.09050421075361690,-0.191663661406489,0.1282172719949220,2.0930526101574100,453.04151614730500,316.7399854690970,5.397169627139490,-12.01643303913750,,237.0,17.6,266.8,,,2.4,,
E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,351.24000000000000,30.29,4,0,6,0.34782608695652200,0.08623733060015940,-0.19172190334381200,0.12835490766140800,2.315032504990340,430.2570421685380,289.34257720157200,4.849614058183600,-10.76512281265850,,245.0,12.7,237.5,,,3.1,,
