Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,468.2000000000000,90.06,5,3,6,0.1875,0.1923536950021360,11.465661567662600,-24.85370254121550,,,56.4,182.3,,,,,
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,254.95200000000000,27.05,3,0,1,0.16666666666666700,0.10609840283661200,4.456202838789910,-9.822290344234340,,,160.4,1351.1,,,,,
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,387.1200000000000,33.53,5,0,5,0.4,0.08661396982847690,5.7379872260210300,-12.679993349073400,,,,193.5,,,,,
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,589.8320000000000,111.4,7,3,14,0.2702702702702700,0.18886733849638500,13.92878272503700,-30.115534835611500,,,9.5,,,,,,
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,491.48000000000000,82.30000000000000,6,2,12,0.3333333333333330,0.16745340603890300,9.278392911078490,-20.25243904133510,,,,162.0,,,,,0.0122
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,508.8480000000000,122.76000000000000,8,4,12,0.3333333333333330,0.2412508253938310,10.169128706698300,-22.718046512141800,,,18.9,64.2,,,,,
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,496.6880000000000,137.26000000000000,7,4,11,0.2,0.27635054601681500,11.04334125324460,-24.600050370929800,,,14.9,66.1,,,,,
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,501.0960000000000,98.93,5,3,9,0.18181818181818200,0.1974272394910360,10.902453224639500,-24.020642103865200,,,15.0,167.0,,,,,
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,394.4080000000000,125.69,5,4,8,0.16,0.3186801484756900,12.109172027089500,-26.517079625212300,,,243.3,77.7,,,,,
E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,537.5920000000000,70.32000000000000,6,2,6,0.4117647058823530,0.13080551793925500,9.850425826773140,-21.570527625336400,,,8.8,,,,,,
E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,376.65600000000000,82.72,5,2,7,0.20833333333333300,0.2196168387069370,7.34120924550702,-16.276716898593000,,,7.4,342.0,,,,,
E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,393.4880000000000,95.85,5,3,7,0.2,0.2435906558776890,11.595971737392500,-25.245483990624000,,,14.2,82.8,,,,,
