Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,E_HOMO,E_LUMO_HOMO_GAP,Dipole_Moment,Polarizability,PSA_DFT,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM,MLM,Caco-2-PP,Caco-2-PE,MPPB,MBPB,MGMB,rankPP,rankPE,rankKSOL,MPPB_,MBPB_,MGMB_,Caco-2-PE-log
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,468.2,90.06,5,3,6,0.1875,0.192353695002136,-0.203352877971846,0.153393886175446,1.12559762316667,621.533898854409,745.874899169929,11.4656615676626,-24.8537025412155,,,4.05004430332552,5.21112415484566,,,,,,,,,,,,
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,254.952,27.05,3,0,1,0.166666666666667,0.106098402836612,-0.191532786379244,0.128070857882833,2.07120104284203,342.158450552445,297.518095563389,4.45620283878991,-9.82229034423434,,,5.08388575583585,7.20941421836471,,,,,,,,,,,,
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,387.12,33.53,5,0,5,0.4,0.0866139698284769,-0.191266886749317,0.127910890403514,3.37594992531045,470.842700477069,394.690915500808,5.73798722602103,-12.6799933490734,,,,5.2704321630585,,,,,,,,,,,,
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,589.832,111.4,7,3,14,0.27027027027027,0.188867338496385,-0.20436818363701,0.148953619550684,2.64109132247414,726.572191390235,822.778044416361,13.928782725037,-30.1155348356115,,,2.35137525716348,,,,,,,,,,,,,
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,491.48,82.3,6,2,12,0.333333333333333,0.167453406038903,-0.200906555987526,0.126589188657109,3.45166472054397,631.181857383088,521.388372055453,9.27839291107849,-20.2524390413351,,,,5.09375020080676,,,,,0.0122,,,,,,6.90675477864855,
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,508.848,122.76,8,4,12,0.333333333333333,0.241250825393831,-0.200375220608793,0.126596213257002,1.70802192729547,636.002967782171,548.233627877172,10.1691287066983,-22.7180465121418,,,2.99071973173045,4.17745946893261,,,,,,,,,,,,
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,496.688,137.26,7,4,11,0.2,0.276350546016815,-0.19797477290712,0.139912070687741,4.16391464255234,591.359502364872,751.025726361952,11.0433412532446,-24.6000503709298,,,2.76631910922619,4.20618404397764,,,,,,,,,,,,
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,501.096,98.93,5,3,9,0.181818181818182,0.197427239491036,-0.210078435966545,0.146059040111759,4.22131967747397,627.672254756818,583.194898030997,10.9024532246395,-24.0206421038652,,,2.77258872223978,5.12396397940326,,,,,,,,,,,,
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,394.408,125.69,5,4,8,0.16,0.31868014847569,-0.199181471130538,0.128628683968469,1.92188791642008,543.809275773291,663.646079361151,12.1091720270895,-26.5170796252123,,,5.4983969782637,4.36564315542336,,,,,,,,,,,,
E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,537.592,70.32,6,2,6,0.411764705882353,0.130805517939255,-0.184582264620669,0.115922259593627,0.545775688645165,740.673659021413,513.222392583923,9.85042582677314,-21.5705276253364,,,2.28238238567653,,,,,,,,,,,,,
