Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,E_HOMO,E_LUMO_HOMO_GAP,Dipole_Moment,Polarizability,PSA_DFT,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,468.2,90.06,5,3,6,0.1875,0.192353695,-0.203352878,0.153393886,1.125597623,621.5338989,745.8748992,11.46566157,-24.85370254,,,56.4,182.3,,,,,
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,254.952,27.05,3,0,1,0.166666667,0.106098403,-0.191532786,0.128070858,2.071201043,342.1584506,297.5180956,4.456202839,-9.822290344,,,160.4,1351.1,,,,,
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,387.12,33.53,5,0,5,0.4,0.08661397,-0.191266887,0.12791089,3.375949925,470.8427005,394.6909155,5.737987226,-12.67999335,,,,193.5,,,,,
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,589.832,111.4,7,3,14,0.27027027,0.188867338,-0.204368184,0.14895362,2.641091322,726.5721914,822.7780444,13.92878273,-30.11553484,,,9.5,,,,,,
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,491.48,82.3,6,2,12,0.333333333,0.167453406,-0.200906556,0.126589189,3.451664721,631.1818574,521.3883721,9.278392911,-20.25243904,,,,162,,,,,0.0122
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,508.848,122.76,8,4,12,0.333333333,0.241250825,-0.200375221,0.126596213,1.708021927,636.0029678,548.2336279,10.16912871,-22.71804651,,,18.9,64.2,,,,,
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,496.688,137.26,7,4,11,0.2,0.276350546,-0.197974773,0.139912071,4.163914643,591.3595024,751.0257264,11.04334125,-24.60005037,,,14.9,66.1,,,,,
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,501.096,98.93,5,3,9,0.181818182,0.197427239,-0.210078436,0.14605904,4.221319677,627.6722548,583.194898,10.90245322,-24.0206421,,,15,167,,,,,
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,394.408,125.69,5,4,8,0.16,0.318680148,-0.199181471,0.128628684,1.921887916,543.8092758,663.6460794,12.10917203,-26.51707963,,,243.3,77.7,,,,,
E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,537.592,70.32,6,2,6,0.411764706,0.130805518,-0.184582265,0.11592226,0.545775689,740.673659,513.2223926,9.850425827,-21.57052763,,,8.8,,,,,,
E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,376.656,82.72,5,2,7,0.208333333,0.219616839,-0.20521925,0.129934432,4.156296922,476.8431838,334.0410008,7.341209246,-16.2767169,,,7.4,342,,,,,
E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,393.488,95.85,5,3,7,0.2,0.243590656,-0.198442937,0.150313283,0.920637045,494.1261694,675.3291636,11.59597174,-25.24548399,,,14.2,82.8,,,,,
E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,382.24,69.83,4,2,7,0.2,0.18268627,-0.206271779,0.157170355,1.086121394,476.6115474,591.0469908,9.692227523,-21.10052508,,,18.9,336,,,,,
E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,305.816,70.15,5,2,5,0.235294118,0.229386298,-0.215935675,0.14676227,4.182915679,336.1956891,390.0172779,7.591437996,-16.37148091,,,9.9,180,,,,,
E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,331.232,79.38,6,2,7,0.277777778,0.239650758,-0.216277409,0.147045349,4.863512594,355.7770613,452.1258387,8.258766583,-17.89059796,,,15.6,250.1,,,,,
E-0010024,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,257.704,84.73,6,2,3,0.230769231,0.328788067,-0.228058748,0.159229076,5.057766754,278.4040338,575.7062759,8.593942162,-18.54249747,,,,36,,,,,
E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,223.616,95.59,5,3,3,0.090909091,0.427473884,-0.229914845,0.160724831,5.483545863,243.4908827,555.4140081,9.574042039,-20.54019773,,,9.3,2044.5,,,,,
E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,393.528,99.25,6,3,6,0.363636364,0.252205688,-0.212665466,0.143359249,4.97740778,416.3143496,639.5256047,10.84324875,-23.13276708,,,9.1,54.8,,,,,
E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,387.632,124.69,6,4,6,0.086956522,0.321671069,-0.23027771,0.160966029,4.330793669,447.3117557,554.9692284,10.90649071,-23.93494626,,,54.4,658.3,,,,,
E-0010062,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,359.936,66.49,4,2,8,0.272727273,0.184727285,-0.213784585,0.155045625,2.068740199,389.3267444,371.7167822,7.778952858,-17.05275618,,,,39.4,,,,,
E-0010066,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,351.392,66.49,5,2,8,0.3,0.189218878,-0.213461935,0.172445207,3.239529134,372.6647639,385.1554501,7.646317474,-16.7801394,,,,69.1,,,,,
E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,441.792,114.94,5,4,8,0.222222222,0.260167681,-0.198911672,0.128681493,2.217943416,584.9078976,599.4082811,11.60783288,-25.42589436,,,173.4,96.7,,,,,
E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,360.336,66.49,4,2,8,0.272727273,0.184522224,-0.213865957,0.158323493,3.253907654,387.9479026,391.6427602,8.042744761,-17.5562075,,,15.8,675.8,,,,,
E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,283.88,80.04,3,3,4,0.111111111,0.28195012,-0.217934781,0.159081234,1.841378371,322.3150103,406.0847253,8.159763017,-17.89525643,,,123.2,439,,,,,
E-0010138,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,382.424,59.39,5,1,5,0.333333333,0.155298831,-0.192634081,0.115797337,2.009098334,469.3912792,431.8293565,5.50861738,-12.20059351,,,,4085.9,,,,,
E-0010347,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,317.712,30.29,4,0,4,0.285714286,0.095337916,-0.191762241,0.128337019,2.260760406,399.070564,301.1225264,4.878464997,-10.82848788,,121,,418.1,,,5.2,,
E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,366.68,39.52,5,0,5,0.375,0.107777899,-0.191600387,0.128254459,2.05222322,445.3953979,401.4936157,5.899746587,-13.08362426,,,10.7,517,,,,,
E-0010360,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,357.184,30.29,4,0,5,0.375,0.084802231,-0.191485285,0.12830271,3.329888351,442.5295281,319.0348776,4.77363294,-10.57271461,,,,273.8,,,,,
E-0010361,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,368.392,30.29,4,0,7,0.375,0.082222198,-0.191060221,0.127918404,2.078206625,444.2613481,284.5209076,4.830506476,-10.72565993,,,,243.6,,,,,
E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,350.096,39.52,5,0,4,0.347826087,0.112883323,-0.192052068,0.128486542,3.696183504,432.5937249,415.6605465,5.701420059,-12.61923786,,,10.7,685,,,,,
E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,286.016,70.14,4,1,3,0.157894737,0.245231036,-0.193665906,0.129433095,4.048824355,365.408495,486.5331405,7.248980798,-16.04458453,,,46.2,399,,,,,
